City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Antalaha,MG,75.33,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
197,Soyo,AO,76.82,broken clouds,-6.1349,12.3689,Hotel Mpampa
199,Mahibadhoo,MV,81.01,scattered clouds,3.7833,72.9667,Omadhoo Inn
202,Bengkulu,ID,75.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
203,Leeton,AU,79.32,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
204,Biak,ID,79.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
209,Luba,GQ,76.89,clear sky,3.4568,8.5547,
211,Codrington,AU,79.03,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
219,Victor Harbor,AU,87.46,clear sky,-35.5667,138.6167,McCracken Country Club
220,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
223,Lagunas,PE,76.98,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
225,Kavieng,PG,83.43,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
227,Arauca,CO,86.0,few clouds,7.0847,-70.7591,Hotel Verano Plaza
230,Coahuayana,MX,85.48,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
234,Jaque,PA,79.18,clear sky,7.5175,-78.1703,Aventuras Jaque S.A
235,Wattegama,LK,76.12,overcast clouds,6.7989,81.4808,
238,Atuona,PF,78.76,light rain,-9.8,-139.0333,Villa Enata
239,Sarangani,PH,81.18,broken clouds,5.4033,125.4636,Ballistic Islet
241,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
252,Pundaguitan,PH,80.35,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
253,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
259,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
261,Portobelo,PA,81.01,clear sky,9.55,-79.65,Scuba Portobelo
265,Pangai,TO,77.11,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
272,Lompoc,US,76.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
273,Omboue,GA,77.49,few clouds,-1.5746,9.2618,Hotel Olako
280,San Policarpo,PH,81.72,broken clouds,12.1791,125.5072,Agapita M. Nicart
284,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
291,Dhidhdhoo,MV,79.81,broken clouds,6.8833,73.1,Dhidhoo beach
292,Kiunga,PG,83.71,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
295,Coro,VE,77.13,scattered clouds,11.4045,-69.6734,Federal
296,Santa Cruz Del Sur,CU,78.19,light rain,20.7147,-77.9956,
304,Puerto Escondido,MX,81.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
306,Massape,BR,76.21,scattered clouds,-3.5228,-40.3428,Pousada Recanto de Fátima
308,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
309,Benguela,AO,76.24,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
321,Port Lincoln,AU,77.85,clear sky,-34.7333,135.8667,Port Lincoln Hotel
322,Harper,LR,79.14,overcast clouds,4.375,-7.7169,Screensaver
324,Paranagua,BR,80.76,scattered clouds,-25.52,-48.5092,Hotel Camboa Paranaguá
325,Kefamenanu,ID,78.66,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
329,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
342,Puerto Ayacucho,VE,83.17,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
346,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
350,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
354,Morro Bay,US,75.25,clear sky,35.3658,-120.8499,Inn at Morro Bay
360,Simbahan,PH,81.45,overcast clouds,6.3032,120.5836,
363,Anloga,GH,80.82,broken clouds,5.7947,0.8973,Pin Drop Hotel
365,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
367,Tiruchchendur,IN,76.26,broken clouds,8.4833,78.1167,Hotel Udhayam International
369,Sapucaia,BR,76.03,few clouds,-29.8333,-51.15,Sitio Dalcarobo
370,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
376,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
380,Singkang,MY,75.09,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
387,Byron Bay,AU,80.06,overcast clouds,-28.65,153.6167,Backpackers Inn
390,Manokwari,ID,81.54,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
403,Itarema,BR,79.54,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
406,Kupang,ID,83.46,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
416,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
419,Puerto Carreno,CO,87.04,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
420,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
426,Auki,SB,85.06,overcast clouds,-8.7676,160.7034,Auki Motel
429,Mareeba,AU,81.66,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
